{'LogType': 'Latency', 'Which': 's', 'AlgoTime': '11', 'TimeType': 'ms', 'Detail': 'Before_recv_cb'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395028', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395054', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395054', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395055', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395057', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395057', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395087', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395087', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395087', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395089', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395089', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395119', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395119', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395120', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395123', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395123', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395152', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395152', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395152', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395155', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395155', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395185', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395185', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395185', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395188', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395188', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395227', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395227', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395227', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395230', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395230', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395259', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395259', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395259', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395263', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395263', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395292', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395292', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395292', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395295', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395295', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395325', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395325', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395326', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395328', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395328', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395358', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395358', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395358', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395362', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395362', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395390', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395390', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395391', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395394', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395394', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395423', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395423', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395424', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395426', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395426', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395455', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395455', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395455', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395459', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395459', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395487', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395487', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395488', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395490', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395490', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395521', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395521', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395522', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395525', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395525', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395554', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395554', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395555', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395557', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395557', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395587', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395587', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395587', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395590', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395590', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395619', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395619', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395620', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395622', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395622', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395653', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395653', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395653', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395656', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395656', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395697', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395697', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395698', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395701', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395701', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395729', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395729', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395729', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395733', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395733', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395762', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395762', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395762', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395765', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395765', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395794', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395794', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395794', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395797', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395797', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395828', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395828', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395828', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395831', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395831', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395860', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395860', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395860', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395863', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395863', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395893', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395893', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395894', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395896', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395896', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395927', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395927', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395927', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395930', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395930', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395960', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395960', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395960', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395963', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395963', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395992', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395992', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395993', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198395995', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198395995', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396026', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396026', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396026', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396029', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396029', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396058', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396058', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396059', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396062', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396062', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396091', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396091', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396092', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396096', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396096', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396124', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396124', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396124', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396126', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396126', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396155', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396155', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396155', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396157', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396157', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396187', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396187', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396188', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396191', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396191', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396220', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396220', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396220', 'TimeType': 'ms', 'Detail': 'start_CatchFrame'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396222', 'TimeType': 'ms', 'Detail': 'RGB_Pop'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613198396222', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'FrameTime', 'Which': 's', 'AlgoTime': '1613198396254', 'TimeType': 'ms', 'Detail': 'RGB_Push'}
